project_id,serial_number,credit_block_start,credit_block_end,quantity,status,token_mint_address,is_tokenized,current_owner_wallet
VCS-1234,VCS-1234-2024-001-001-001,1,1000,1000.0,Active,,,
VCS-1234,VCS-1234-2024-001-001-002,1001,2000,1000.0,Active,,,
GS-5678,GS-5678-2023-001-001-001,1,5000,5000.0,Active,,,
VCS-2456,VCS-2456-2024-001-001-001,1,10000,10000.0,Active,,,
GS-7890,GS-7890-2023-001-001-001,1,3000,3000.0,Active,,,
VCS-3789,VCS-3789-2024-001-001-001,1,2500,2500.0,Active,,,
VCS-4123,VCS-4123-2023-001-001-001,1,7500,7500.0,Active,,,
GS-8901,GS-8901-2024-001-001-001,1,4500,4500.0,Active,,,
VCS-5234,VCS-5234-2023-001-001-001,1,2000,2000.0,Active,,,
GS-9012,GS-9012-2024-001-001-001,1,1500,1500.0,Active,,,
VCS-6345,VCS-6345-2024-001-001-001,1,3500,3500.0,Active,,,
GS-0123,GS-0123-2023-001-001-001,1,2800,2800.0,Active,,,
VCS-7456,VCS-7456-2024-001-001-001,1,6000,6000.0,Active,,,
GS-1234,GS-1234-2023-001-001-001,1,4000,4000.0,Active,,,
VCS-8567,VCS-8567-2024-001-001-001,1,3800,3800.0,Active,,,
